timestamp,sender,message
2024-01-15 08:05:00,Alice,"Good morning! Just woke up, coffee is already brewing ☕"
2024-01-15 08:07:00,Bob,Morning! You're an early bird today
2024-01-15 08:09:00,Alice,"Haha not really, I've been awake since 6. Couldn't sleep"
2024-01-15 08:12:00,Bob,Same honestly. Slept at 2am last night working on that project
2024-01-15 08:15:00,Alice,The deadline is killing me too. Boss wants it by Friday
2024-01-15 08:18:00,Bob,Friday?! That's impossible
2024-01-15 08:20:00,Alice,I know lol. Gonna have a long week
2024-01-15 09:30:00,Alice,Hey btw did you see that new pizza place opened near office?
2024-01-15 09:32:00,Bob,Yes! Been dying to try it
2024-01-15 09:34:00,Alice,Should we go for lunch today? I'm craving pizza so bad
2024-01-15 09:36:00,Bob,Omg yes please. 1pm?
2024-01-15 09:37:00,Alice,Perfect! ❤️ I need comfort food after this morning meeting
2024-01-15 11:00:00,Alice,Meeting was brutal. My boss literally roasted my entire presentation 😭
2024-01-15 11:02:00,Bob,Oh no!! What happened?
2024-01-15 11:05:00,Alice,He said the numbers don't add up and the design looks unprofessional. I worked so hard on it
2024-01-15 11:07:00,Bob,That's awful. You should have seen how stressed you looked this morning
2024-01-15 11:09:00,Alice,I cried a little ngl. Not my best moment
2024-01-15 11:11:00,Bob,Hey no shame in that. Work stress is real
2024-01-15 11:14:00,Alice,I just feel so frustrated. I put in 3 nights of overtime
2024-01-15 11:16:00,Bob,Your boss sounds really harsh honestly. You work so hard
2024-01-15 12:58:00,Alice,Leaving for pizza! You coming?
2024-01-15 13:00:00,Bob,Already at the door! 😄
2024-01-15 14:30:00,Alice,That pizza was AMAZING. Best decision today
2024-01-15 14:31:00,Bob,The cheese pull!! 🧀😍
2024-01-15 14:33:00,Alice,My diet is ruined but worth it lol
2024-01-15 14:35:00,Bob,You don't need a diet you're fine haha
2024-01-15 18:00:00,Alice,Still at the office. Going to be another late night 😞
2024-01-15 18:03:00,Bob,Same. Want to grab dinner after?
2024-01-15 18:05:00,Alice,Yes! My husband said he'll cook but I feel bad going home so late again
2024-01-15 18:08:00,Bob,Oh he cooks? Lucky you 😂
2024-01-15 18:10:00,Alice,Haha he's actually a great cook. Better than me tbh
2024-01-15 22:30:00,Alice,Finally heading home. 10:30pm... this is becoming a habit
2024-01-15 22:33:00,Bob,That's too late. You need rest
2024-01-15 22:35:00,Alice,I know. My body is exhausted. But project isn't done yet
2024-01-15 22:38:00,Bob,"We'll get through it. Goodnight Alice, get some rest!"
2024-01-15 22:40:00,Alice,Night! Thanks for being such a good friend ❤️
2024-01-16 07:55:00,Alice,Morning again! Slept like 5 hours but coffee is helping 😅
2024-01-16 08:00:00,Bob,You need more sleep seriously
2024-01-16 08:03:00,Alice,I know I know. Btw my dog was so happy to see me last night
2024-01-16 08:05:00,Bob,Aww what kind of dog?
2024-01-16 08:07:00,Alice,Golden retriever! His name is Mochi 🐕
